# INDEPENDENT ATTESTATIONS — distinct sentences a term was harvested from.
# A sentence copied into 100 patents is ONE attestation.
# Uses vocab.py's own PRE/POST/STOP, so `docs` matches vocab.py exactly.
# term	docs	attestations	copy_factor	top_share	top_sentence
orientalic	1	1	1.00	1.000	sandalwood oil is one of the most precious perfume ingredients, ever sought after due to its distinctive orientalic, sweet and woody note that it gives to perfume compositions
guava-like	1	2	0.50	1.000	2-ethyl-n-(3-methoxyphenyl)-n-methylbutanamide was described as having fresh, juicy, cassis-like and grapefruit- and sweet guava-like notes
carbamate	1	1	1.00	1.000	(structure 2) the fruity notes appeared fleshy, ripe, sugary, zesty and tart and natural 2-ethyl-n-(3-methoxyphenyl)butan-1- fruity, solventy, chemical and 3 3 imine dirty (structure 3) 2-ethyl-n-(3- musky and powdery with a 3 3 methoxyphenyl)butanamide burnt quality (structure 4) n-(3-methoxyphenyl
butanamide	1	1	1.00	1.000	(structure 2) the fruity notes appeared fleshy, ripe, sugary, zesty and tart and natural 2-ethyl-n-(3-methoxyphenyl)butan-1- fruity, solventy, chemical and 3 3 imine dirty (structure 3) 2-ethyl-n-(3- musky and powdery with a 3 3 methoxyphenyl)butanamide burnt quality (structure 4) n-(3-methoxyphenyl
cannabinoids	1	1	1.00	1.000	the endogenous terpenes may produce a rich flavor for inhaled extracted compounds and/or cannabinoids associated with the aromas of vaporized cannabinoids
vaporized	1	1	1.00	1.000	the endogenous terpenes may produce a rich flavor for inhaled extracted compounds and/or cannabinoids associated with the aromas of vaporized cannabinoids
elucidate	1	1	1.00	1.000	head space trapping and analysis is a technique developed to elucidate the odour compounds present in the air surrounding various objects
reminis	1	1	1.00	1.000	thus, the results of these various endeavours to reconstitute the complex odour of patchouli oil are products that whilst being somewhat reminiscent of patchouli oil, nevertheless lack its distinctive fragrance characteristics
draw	1	1	1.00	1.000	furthermore, some of these ingredients possess odours that would not immediately be associated with the odour of patchouli and as such, they enable perfumers to draw on their olfactive equivalents from perfumery ingredients that would not conventionally be considered to be relevant in the context of
compacted	1	1	1.00	1.000	hence, there is a need for perfume compositions, particularly suitable for use in compacted products, which impart odour benefit throughout an application that is comparable with perfume benefits obtained using conventional perfumes delivered through non-compacted products
sweet-woody-chypre	1	1	1.00	1.000	perfume d is a compacted version of perfume c (having a sweet-woody-chypre character), also obtained through a top-down process
citrusfloral	1	1	1.00	1.000	this perfume could not be compacted using a top-down creation process without a complete loss of the citrusfloral odour direction
rejection	1	1	1.00	1.000	for example, the level of perfume in a consumer product may not be strong enough to cover the intrinsic smell of that product, leading to its rejection by consumers
implemented	1	1	1.00	1.000	since the at least one odor modulator compound does not substantially change the fragrance profile of the perfume composition, in principle any desired fragrance profile may be implemented without objectionable secondary notes being perceived
indirect	1	1	1.00	1.000	the olfactometer and all devices which come into direct or indirect contact with the odor modulator compound to be assessed have to be odorless, and are inert in relation to their reactivity with the odor modulator compounds, such as glass, stainless steel or ptfe
reactivity	1	1	1.00	1.000	the olfactometer and all devices which come into direct or indirect contact with the odor modulator compound to be assessed have to be odorless, and are inert in relation to their reactivity with the odor modulator compounds, such as glass, stainless steel or ptfe
silent	1	1	1.00	1.000	the publication is silent about the odour of this compound and its use as perfume ingredient
integrally-mixed	1	1	1.00	1.000	the device comprises a combination integrally-mixed plastic and scent substance formed through a manufacturing process that produces a shape for the scent impregnating device which permits it to be removeably attached to an air filter
intoxicating	1	1	1.00	1.000	lower weight alcohols such as ethanol based perfumes tend to dry the skin and bear a societal stigma owing to their intoxicating character
dual	1	3	0.33	1.000	it functions as a micellar promotor in that among other functions it enhances the dual character of the primary surfactant so as to enable use of lower concentrations of the primary surfactant
semi-polar	1	1	1.00	1.000	a semi-polar character coupled with its low or negligible volatilization and moderate to low lipophilic activity characterize the co-surfactant/hydrotrope
immiscible	1	1	1.00	1.000	the fragrance oil is lipophilic, substantially aqueous immiscible and delivers fragrant scents spanning a wide range of olfactive responses
non-flammable	1	1	1.00	1.000	aqueous compositions have such benefits as the environmentally friendly character of water, non-flammable compositions and ethnic and societal acceptance
ethnic	1	1	1.00	1.000	aqueous compositions have such benefits as the environmentally friendly character of water, non-flammable compositions and ethnic and societal acceptance
societal	1	1	1.00	1.000	aqueous compositions have such benefits as the environmentally friendly character of water, non-flammable compositions and ethnic and societal acceptance
lipophilicity	1	1	1.00	1.000	the primary surfactant exhibits solubility in aqueous and lipophilic media due to its dual character of lipophilicity and hydrophilicity
evaporates	1	1	1.00	1.000	due to the different volatilities of the fragrances, the smell of a perfume or scent composed of several aroma substances changes as it evaporates, wherein the olfactory impressions are divided into the “top note”, the “middle note” or “body”, and the “end note” or “dry out”
earlier	1	1	1.00	1.000	with respect to further preferred variants of these particularly preferred compositions, the earlier notes on the inventive cosmetic preparations a) still apply mutatis mutandis
chang	1	1	1.00	1.000	due to the different volatilities of the fragrances, the smell of a perfume or scent composed of several aroma substances changes as it evaporates, wherein the olfactory impressions are divided into the “top note”, the “middle note” or “body”, and the “end note” or “dry out”
matrices	1	1	1.00	1.000	essential oils are typically concentrated, hydrophobic liquid matrices containing volatile aroma compounds from plants
applicat	1	1	1.00	1.000	additionally, the marked aromatic note of these oils, which is the most appreciable feature in applications such as aromatherapy or perfume production, is conversely one of the major limitations in food and feed applications, especially at therapeutic dosages, because the final products result to ha
declines	1	1	1.00	1.000	one of the problems associated with this is that the intensity of the odor of the corresponding compounds declines relatively quickly on account of the high volatility of said compounds
synonym	1	1	1.00	1.000	the odor of limonene is often associated with freshness, which is synonymous with cleanliness and purity for the user
cloaks	1	1	1.00	1.000	field of invention a natural oil cover scent mixture containing a mixture of a base oil and a strong fragrance oil, cloaks and masks the odor of a hunter from detection by game animals being hunted, consisting primarily of a mixture of natural and beneficial topical oils, preferably jojoba oil, and 
luring	1	1	1.00	1.000	thus, two types of scents are used by hunters in their quest for wild game - luring scents, to draw the game close to a selected hunting area, and cover scents, to prevent the wild game from detecting the smell of a human hunter
cloak	1	1	1.00	1.000	the subject of the present cover scent is to mask and cloak the smell of the hunter by use of natural oils which may be used topically on the skin as a deodorant, on clothing, other body odors or to mask other remnant odors where a hunter has been
remnant	1	1	1.00	1.000	the subject of the present cover scent is to mask and cloak the smell of the hunter by use of natural oils which may be used topically on the skin as a deodorant, on clothing, other body odors or to mask other remnant odors where a hunter has been
hunted	1	1	1.00	1.000	field of invention a natural oil cover scent mixture containing a mixture of a base oil and a strong fragrance oil, cloaks and masks the odor of a hunter from detection by game animals being hunted, consisting primarily of a mixture of natural and beneficial topical oils, preferably jojoba oil, and 
topically	1	1	1.00	1.000	the subject of the present cover scent is to mask and cloak the smell of the hunter by use of natural oils which may be used topically on the skin as a deodorant, on clothing, other body odors or to mask other remnant odors where a hunter has been
ble	1	1	1.00	1.000	keeping in mind the primary purpose of this natural cover scent is to cover and mask the smell of the hunter, it can be a secondary benefit if the selected blended scents also provide some attraction to the hunted game
oldest	1	1	1.00	1.000	prior art oil-based perfumes and fragrances are the oldest man made scents dating back to at least the times of ancient egypt and babylonia
true-to-nature	1	2	0.50	1.000	after subsequent filtration 3.5 l of a slightly yellow clear liquid with a strong and true-to-nature incense smell are obtained (87.5% yield)
mches	1	1	1.00	1.000	this complex interaction between solvent and solute (mches and low-polarity aroma compounds) results in fragrance blends where the individual fragrant components are present at different concentrations and proportions than in the original blend
chocolate-jasmine	1	1	1.00	1.000	the two perfume blends differ considerably in their physical and sensory qualities: duration color scent description on skin skin feel “a” brown sweet jasmine, heavy 24 hours slightly sticky “b” light yellow dry jasmine-chocolate 24 hours dry, velvety in comparison to “a”, the non-alcoholic perfume 
